,Model,Metric,Row,F1
0,Aadarsh,bleurt,0,0.6666666666666666
0,Aadarsh,bleurt,1,0.0
0,Aadarsh,bleurt,2,0.0
0,Aadarsh,bleurt,3,0.5
0,Aadarsh,bleurt,4,0.5
0,Aadarsh,bleurt,5,0.1111111111111111
0,Aadarsh,bleurt,6,0.5
0,Aadarsh,bleurt,7,1.0
0,Aadarsh,bleurt,8,0.25
0,Aadarsh,bleurt,9,0.8
0,Aadarsh,bleurt,10,0.5
0,Aadarsh,bleurt,11,0.0
0,Aadarsh,bleurt,12,0.13333333333333333
0,Aadarsh,bleurt,13,0.0
0,Aadarsh,bleurt,14,0.0
0,Aadarsh,bleurt,15,0.0
0,Aadarsh,bleurt,16,0.0
0,Aadarsh,bleurt,17,0.0
0,Aadarsh,bleurt,18,0.5
0,Aadarsh,bleurt,19,0.0
0,Aadarsh,bleu,0,0.6666666666666666
0,Aadarsh,bleu,1,0.0
0,Aadarsh,bleu,2,0.5
0,Aadarsh,bleu,3,0.0
0,Aadarsh,bleu,4,0.5
0,Aadarsh,bleu,5,0.2222222222222222
0,Aadarsh,bleu,6,0.5
0,Aadarsh,bleu,7,1.0
0,Aadarsh,bleu,8,0.25
0,Aadarsh,bleu,9,0.8
0,Aadarsh,bleu,10,0.5
0,Aadarsh,bleu,11,0.0
0,Aadarsh,bleu,12,0.2
0,Aadarsh,bleu,13,0.0
0,Aadarsh,bleu,14,0.5
0,Aadarsh,bleu,15,0.5
0,Aadarsh,bleu,16,0.0
0,Aadarsh,bleu,17,0.0
0,Aadarsh,bleu,18,0.375
0,Aadarsh,bleu,19,0.0
0,Aadarsh,meteor,0,0.6666666666666666
0,Aadarsh,meteor,1,0.0
0,Aadarsh,meteor,2,0.5
0,Aadarsh,meteor,3,0.5
0,Aadarsh,meteor,4,1.0
0,Aadarsh,meteor,5,0.2222222222222222
0,Aadarsh,meteor,6,0.5
0,Aadarsh,meteor,7,1.0
0,Aadarsh,meteor,8,0.25
0,Aadarsh,meteor,9,0.8
0,Aadarsh,meteor,10,0.5
0,Aadarsh,meteor,11,0.6666666666666666
0,Aadarsh,meteor,12,0.5333333333333333
0,Aadarsh,meteor,13,0.8
0,Aadarsh,meteor,14,0.5
0,Aadarsh,meteor,15,0.5
0,Aadarsh,meteor,16,0.0
0,Aadarsh,meteor,17,0.0
0,Aadarsh,meteor,18,0.375
0,Aadarsh,meteor,19,0.0
0,Aadarsh,rouge,0,0.6666666666666666
0,Aadarsh,rouge,1,0.0
0,Aadarsh,rouge,2,0.5
0,Aadarsh,rouge,3,0.5
0,Aadarsh,rouge,4,0.5
0,Aadarsh,rouge,5,0.2222222222222222
0,Aadarsh,rouge,6,0.5
0,Aadarsh,rouge,7,1.0
0,Aadarsh,rouge,8,0.25
0,Aadarsh,rouge,9,0.8
0,Aadarsh,rouge,10,0.5
0,Aadarsh,rouge,11,0.6666666666666666
0,Aadarsh,rouge,12,0.13333333333333333
0,Aadarsh,rouge,13,0.0
0,Aadarsh,rouge,14,0.5
0,Aadarsh,rouge,15,0.5
0,Aadarsh,rouge,16,0.0
0,Aadarsh,rouge,17,0.0
0,Aadarsh,rouge,18,0.375
0,Aadarsh,rouge,19,0.0
0,Aadarsh,verbatim,0,0.6666666666666666
0,Aadarsh,verbatim,1,0.0
0,Aadarsh,verbatim,2,0.0
0,Aadarsh,verbatim,3,0.0
0,Aadarsh,verbatim,4,0.0
0,Aadarsh,verbatim,5,0.1111111111111111
0,Aadarsh,verbatim,6,0.5
0,Aadarsh,verbatim,7,1.0
0,Aadarsh,verbatim,8,0.25
0,Aadarsh,verbatim,9,0.8
0,Aadarsh,verbatim,10,0.0
0,Aadarsh,verbatim,11,0.0
0,Aadarsh,verbatim,12,0.0
0,Aadarsh,verbatim,13,0.0
0,Aadarsh,verbatim,14,0.0
0,Aadarsh,verbatim,15,0.0
0,Aadarsh,verbatim,16,0.0
0,Aadarsh,verbatim,17,0.0
0,Aadarsh,verbatim,18,0.375
0,Aadarsh,verbatim,19,0.0
0,Ashlin,bleurt,0,0.5
0,Ashlin,bleurt,1,1.0
0,Ashlin,bleurt,2,0.3333333333333333
0,Ashlin,bleurt,3,0.0
0,Ashlin,bleurt,4,0.5
0,Ashlin,bleurt,5,0.0
0,Ashlin,bleurt,6,0.5
0,Ashlin,bleurt,7,0.6363636363636364
0,Ashlin,bleurt,8,0.3333333333333333
0,Ashlin,bleurt,9,0.0
0,Ashlin,bleurt,10,0.5
0,Ashlin,bleurt,11,0.0
0,Ashlin,bleurt,12,0.125
0,Ashlin,bleurt,13,0.4
0,Ashlin,bleurt,14,1.0
0,Ashlin,bleurt,15,0.0
0,Ashlin,bleurt,16,0.0
0,Ashlin,bleurt,17,0.0
0,Ashlin,bleurt,18,0.5714285714285714
0,Ashlin,bleurt,19,0.3333333333333333
0,Ashlin,bleu,0,0.5
0,Ashlin,bleu,1,1.0
0,Ashlin,bleu,2,0.3333333333333333
0,Ashlin,bleu,3,0.0
0,Ashlin,bleu,4,0.5
0,Ashlin,bleu,5,0.0
0,Ashlin,bleu,6,0.3333333333333333
0,Ashlin,bleu,7,0.6363636363636364
0,Ashlin,bleu,8,0.3333333333333333
0,Ashlin,bleu,9,0.0
0,Ashlin,bleu,10,0.5
0,Ashlin,bleu,11,0.0
0,Ashlin,bleu,12,0.1875
0,Ashlin,bleu,13,0.4
0,Ashlin,bleu,14,1.0
0,Ashlin,bleu,15,0.0
0,Ashlin,bleu,16,0.0
0,Ashlin,bleu,17,0.0
0,Ashlin,bleu,18,0.42857142857142855
0,Ashlin,bleu,19,0.3333333333333333
0,Ashlin,meteor,0,0.5
0,Ashlin,meteor,1,1.0
0,Ashlin,meteor,2,0.6666666666666666
0,Ashlin,meteor,3,0.5
0,Ashlin,meteor,4,1.0
0,Ashlin,meteor,5,0.0
0,Ashlin,meteor,6,0.5
0,Ashlin,meteor,7,1.1818181818181819
0,Ashlin,meteor,8,0.3333333333333333
0,Ashlin,meteor,9,0.4444444444444444
0,Ashlin,meteor,10,0.5
0,Ashlin,meteor,11,0.3333333333333333
0,Ashlin,meteor,12,0.625
0,Ashlin,meteor,13,0.4
0,Ashlin,meteor,14,1.0
0,Ashlin,meteor,15,0.5
0,Ashlin,meteor,16,0.0
0,Ashlin,meteor,17,0.0
0,Ashlin,meteor,18,0.42857142857142855
0,Ashlin,meteor,19,0.3333333333333333
0,Ashlin,rouge,0,0.5
0,Ashlin,rouge,1,1.0
0,Ashlin,rouge,2,0.3333333333333333
0,Ashlin,rouge,3,0.0
0,Ashlin,rouge,4,0.5
0,Ashlin,rouge,5,0.0
0,Ashlin,rouge,6,0.3333333333333333
0,Ashlin,rouge,7,0.45454545454545453
0,Ashlin,rouge,8,0.3333333333333333
0,Ashlin,rouge,9,0.0
0,Ashlin,rouge,10,0.5
0,Ashlin,rouge,11,0.0
0,Ashlin,rouge,12,0.1875
0,Ashlin,rouge,13,0.4
0,Ashlin,rouge,14,1.0
0,Ashlin,rouge,15,0.0
0,Ashlin,rouge,16,0.0
0,Ashlin,rouge,17,0.0
0,Ashlin,rouge,18,0.42857142857142855
0,Ashlin,rouge,19,0.3333333333333333
0,Ashlin,verbatim,0,0.5
0,Ashlin,verbatim,1,1.0
0,Ashlin,verbatim,2,0.0
0,Ashlin,verbatim,3,0.0
0,Ashlin,verbatim,4,0.25
0,Ashlin,verbatim,5,0.0
0,Ashlin,verbatim,6,0.0
0,Ashlin,verbatim,7,0.18181818181818182
0,Ashlin,verbatim,8,0.3333333333333333
0,Ashlin,verbatim,9,0.0
0,Ashlin,verbatim,10,0.0
0,Ashlin,verbatim,11,0.0
0,Ashlin,verbatim,12,0.0
0,Ashlin,verbatim,13,0.2
0,Ashlin,verbatim,14,1.0
0,Ashlin,verbatim,15,0.0
0,Ashlin,verbatim,16,0.0
0,Ashlin,verbatim,17,0.0
0,Ashlin,verbatim,18,0.42857142857142855
0,Ashlin,verbatim,19,0.0
0,Kuldeep,bleurt,0,0.5
0,Kuldeep,bleurt,1,0.0
0,Kuldeep,bleurt,2,0.3333333333333333
0,Kuldeep,bleurt,3,0.0
0,Kuldeep,bleurt,4,0.25
0,Kuldeep,bleurt,5,1.0
0,Kuldeep,bleurt,6,0.25
0,Kuldeep,bleurt,7,0.4
0,Kuldeep,bleurt,8,1.0
0,Kuldeep,bleurt,9,0.0
0,Kuldeep,bleurt,10,0.5
0,Kuldeep,bleurt,11,0.3333333333333333
0,Kuldeep,bleurt,12,1.0
0,Kuldeep,bleurt,13,0.4
0,Kuldeep,bleurt,14,0.5
0,Kuldeep,bleurt,15,0.0
0,Kuldeep,bleurt,16,0.3333333333333333
0,Kuldeep,bleurt,17,0.0
0,Kuldeep,bleurt,18,1.0
0,Kuldeep,bleurt,19,0.5
0,Kuldeep,bleu,0,0.5
0,Kuldeep,bleu,1,0.0
0,Kuldeep,bleu,2,0.3333333333333333
0,Kuldeep,bleu,3,0.0
0,Kuldeep,bleu,4,0.25
0,Kuldeep,bleu,5,1.0
0,Kuldeep,bleu,6,0.0
0,Kuldeep,bleu,7,0.4
0,Kuldeep,bleu,8,1.0
0,Kuldeep,bleu,9,0.0
0,Kuldeep,bleu,10,0.5
0,Kuldeep,bleu,11,0.3333333333333333
0,Kuldeep,bleu,12,1.0
0,Kuldeep,bleu,13,0.4
0,Kuldeep,bleu,14,0.0
0,Kuldeep,bleu,15,0.5
0,Kuldeep,bleu,16,0.3333333333333333
0,Kuldeep,bleu,17,0.0
0,Kuldeep,bleu,18,1.0
0,Kuldeep,bleu,19,0.5
0,Kuldeep,meteor,0,0.5
0,Kuldeep,meteor,1,0.5
0,Kuldeep,meteor,2,0.6666666666666666
0,Kuldeep,meteor,3,0.5
0,Kuldeep,meteor,4,0.5
0,Kuldeep,meteor,5,1.0
0,Kuldeep,meteor,6,0.25
0,Kuldeep,meteor,7,0.8
0,Kuldeep,meteor,8,1.0
0,Kuldeep,meteor,9,0.625
0,Kuldeep,meteor,10,0.5
0,Kuldeep,meteor,11,0.0
0,Kuldeep,meteor,12,1.5454545454545454
0,Kuldeep,meteor,13,0.4
0,Kuldeep,meteor,14,0.5
0,Kuldeep,meteor,15,0.5
0,Kuldeep,meteor,16,0.3333333333333333
0,Kuldeep,meteor,17,0.5
0,Kuldeep,meteor,18,1.0
0,Kuldeep,meteor,19,0.5
0,Kuldeep,rouge,0,0.5
0,Kuldeep,rouge,1,0.5
0,Kuldeep,rouge,2,0.3333333333333333
0,Kuldeep,rouge,3,0.0
0,Kuldeep,rouge,4,0.25
0,Kuldeep,rouge,5,1.0
0,Kuldeep,rouge,6,0.25
0,Kuldeep,rouge,7,0.3
0,Kuldeep,rouge,8,1.0
0,Kuldeep,rouge,9,0.0
0,Kuldeep,rouge,10,0.5
0,Kuldeep,rouge,11,0.3333333333333333
0,Kuldeep,rouge,12,1.0
0,Kuldeep,rouge,13,0.4
0,Kuldeep,rouge,14,0.0
0,Kuldeep,rouge,15,0.5
0,Kuldeep,rouge,16,0.3333333333333333
0,Kuldeep,rouge,17,0.0
0,Kuldeep,rouge,18,1.0
0,Kuldeep,rouge,19,0.5
0,Kuldeep,verbatim,0,0.0
0,Kuldeep,verbatim,1,0.0
0,Kuldeep,verbatim,2,0.0
0,Kuldeep,verbatim,3,0.0
0,Kuldeep,verbatim,4,0.0
0,Kuldeep,verbatim,5,1.0
0,Kuldeep,verbatim,6,0.0
0,Kuldeep,verbatim,7,0.1
0,Kuldeep,verbatim,8,1.0
0,Kuldeep,verbatim,9,0.0
0,Kuldeep,verbatim,10,0.0
0,Kuldeep,verbatim,11,0.0
0,Kuldeep,verbatim,12,1.0
0,Kuldeep,verbatim,13,0.0
0,Kuldeep,verbatim,14,0.0
0,Kuldeep,verbatim,15,0.0
0,Kuldeep,verbatim,16,0.3333333333333333
0,Kuldeep,verbatim,17,0.0
0,Kuldeep,verbatim,18,1.0
0,Kuldeep,verbatim,19,0.0
0,Maryam,bleurt,0,0.5
0,Maryam,bleurt,1,0.0
0,Maryam,bleurt,2,1.0
0,Maryam,bleurt,3,1.0
0,Maryam,bleurt,4,0.0
0,Maryam,bleurt,5,0.0
0,Maryam,bleurt,6,1.0
0,Maryam,bleurt,7,0.3333333333333333
0,Maryam,bleurt,8,0.0
0,Maryam,bleurt,9,1.0
0,Maryam,bleurt,10,0.5
0,Maryam,bleurt,11,0.0
0,Maryam,bleurt,12,0.05
0,Maryam,bleurt,13,0.0
0,Maryam,bleurt,14,0.5
0,Maryam,bleurt,15,0.3333333333333333
0,Maryam,bleurt,16,0.0
0,Maryam,bleurt,17,1.0
0,Maryam,bleurt,18,0.625
0,Maryam,bleurt,19,1.0
0,Maryam,bleu,0,0.5
0,Maryam,bleu,1,0.25
0,Maryam,bleu,2,1.0
0,Maryam,bleu,3,1.0
0,Maryam,bleu,4,0.6666666666666666
0,Maryam,bleu,5,0.16666666666666666
0,Maryam,bleu,6,1.0
0,Maryam,bleu,7,0.8333333333333334
0,Maryam,bleu,8,0.3333333333333333
0,Maryam,bleu,9,1.0
0,Maryam,bleu,10,0.5
0,Maryam,bleu,11,0.5
0,Maryam,bleu,12,0.15
0,Maryam,bleu,13,0.8
0,Maryam,bleu,14,0.5
0,Maryam,bleu,15,0.3333333333333333
0,Maryam,bleu,16,0.0
0,Maryam,bleu,17,1.0
0,Maryam,bleu,18,0.375
0,Maryam,bleu,19,1.0
0,Maryam,meteor,0,0.5
0,Maryam,meteor,1,0.25
0,Maryam,meteor,2,1.0
0,Maryam,meteor,3,1.0
0,Maryam,meteor,4,0.6666666666666666
0,Maryam,meteor,5,0.16666666666666666
0,Maryam,meteor,6,1.0
0,Maryam,meteor,7,1.0
0,Maryam,meteor,8,0.3333333333333333
0,Maryam,meteor,9,1.0
0,Maryam,meteor,10,0.5
0,Maryam,meteor,11,1.0
0,Maryam,meteor,12,0.35
0,Maryam,meteor,13,0.8
0,Maryam,meteor,14,0.5
0,Maryam,meteor,15,0.3333333333333333
0,Maryam,meteor,16,0.0
0,Maryam,meteor,17,1.0
0,Maryam,meteor,18,0.5
0,Maryam,meteor,19,1.0
0,Maryam,rouge,0,0.5
0,Maryam,rouge,1,0.0
0,Maryam,rouge,2,1.0
0,Maryam,rouge,3,1.0
0,Maryam,rouge,4,0.6666666666666666
0,Maryam,rouge,5,0.0
0,Maryam,rouge,6,1.0
0,Maryam,rouge,7,0.5
0,Maryam,rouge,8,0.3333333333333333
0,Maryam,rouge,9,1.0
0,Maryam,rouge,10,0.5
0,Maryam,rouge,11,0.5
0,Maryam,rouge,12,0.1
0,Maryam,rouge,13,0.8
0,Maryam,rouge,14,0.5
0,Maryam,rouge,15,0.3333333333333333
0,Maryam,rouge,16,0.0
0,Maryam,rouge,17,1.0
0,Maryam,rouge,18,0.5
0,Maryam,rouge,19,1.0
0,Maryam,verbatim,0,0.0
0,Maryam,verbatim,1,0.0
0,Maryam,verbatim,2,1.0
0,Maryam,verbatim,3,1.0
0,Maryam,verbatim,4,0.0
0,Maryam,verbatim,5,0.0
0,Maryam,verbatim,6,1.0
0,Maryam,verbatim,7,0.3333333333333333
0,Maryam,verbatim,8,0.0
0,Maryam,verbatim,9,1.0
0,Maryam,verbatim,10,0.0
0,Maryam,verbatim,11,0.0
0,Maryam,verbatim,12,0.0
0,Maryam,verbatim,13,0.0
0,Maryam,verbatim,14,0.0
0,Maryam,verbatim,15,0.0
0,Maryam,verbatim,16,0.0
0,Maryam,verbatim,17,0.0
0,Maryam,verbatim,18,0.25
0,Maryam,verbatim,19,0.0
0,Nate,bleurt,0,0.25
0,Nate,bleurt,1,0.0
0,Nate,bleurt,2,0.5
0,Nate,bleurt,3,0.3333333333333333
0,Nate,bleurt,4,0.25
0,Nate,bleurt,5,0.16666666666666666
0,Nate,bleurt,6,0.25
0,Nate,bleurt,7,0.0
0,Nate,bleurt,8,0.25
0,Nate,bleurt,9,0.5555555555555556
0,Nate,bleurt,10,0.5
0,Nate,bleurt,11,0.0
0,Nate,bleurt,12,0.16666666666666666
0,Nate,bleurt,13,0.2
0,Nate,bleurt,14,1.0
0,Nate,bleurt,15,1.0
0,Nate,bleurt,16,0.0
0,Nate,bleurt,17,0.0
0,Nate,bleurt,18,0.625
0,Nate,bleurt,19,0.5
0,Nate,bleu,0,0.25
0,Nate,bleu,1,0.0
0,Nate,bleu,2,0.5
0,Nate,bleu,3,0.3333333333333333
0,Nate,bleu,4,0.5
0,Nate,bleu,5,0.3333333333333333
0,Nate,bleu,6,0.25
0,Nate,bleu,7,0.5
0,Nate,bleu,8,0.25
0,Nate,bleu,9,0.4444444444444444
0,Nate,bleu,10,0.5
0,Nate,bleu,11,0.25
0,Nate,bleu,12,0.16666666666666666
0,Nate,bleu,13,0.4
0,Nate,bleu,14,1.0
0,Nate,bleu,15,1.0
0,Nate,bleu,16,0.0
0,Nate,bleu,17,0.0
0,Nate,bleu,18,0.5
0,Nate,bleu,19,0.5
0,Nate,meteor,0,0.5
0,Nate,meteor,1,0.0
0,Nate,meteor,2,1.0
0,Nate,meteor,3,0.3333333333333333
0,Nate,meteor,4,1.0
0,Nate,meteor,5,0.3333333333333333
0,Nate,meteor,6,0.25
0,Nate,meteor,7,1.2
0,Nate,meteor,8,0.25
0,Nate,meteor,9,0.4444444444444444
0,Nate,meteor,10,0.5
0,Nate,meteor,11,1.0
0,Nate,meteor,12,0.3888888888888889
0,Nate,meteor,13,0.4
0,Nate,meteor,14,1.0
0,Nate,meteor,15,1.0
0,Nate,meteor,16,0.0
0,Nate,meteor,17,0.0
0,Nate,meteor,18,0.5
0,Nate,meteor,19,0.5
0,Nate,rouge,0,0.25
0,Nate,rouge,1,0.0
0,Nate,rouge,2,0.5
0,Nate,rouge,3,0.3333333333333333
0,Nate,rouge,4,0.5
0,Nate,rouge,5,0.16666666666666666
0,Nate,rouge,6,0.25
0,Nate,rouge,7,0.4
0,Nate,rouge,8,0.25
0,Nate,rouge,9,0.4444444444444444
0,Nate,rouge,10,0.5
0,Nate,rouge,11,0.25
0,Nate,rouge,12,0.16666666666666666
0,Nate,rouge,13,0.4
0,Nate,rouge,14,1.0
0,Nate,rouge,15,1.0
0,Nate,rouge,16,0.0
0,Nate,rouge,17,0.0
0,Nate,rouge,18,0.5
0,Nate,rouge,19,0.5
0,Nate,verbatim,0,0.25
0,Nate,verbatim,1,0.0
0,Nate,verbatim,2,0.0
0,Nate,verbatim,3,0.3333333333333333
0,Nate,verbatim,4,0.0
0,Nate,verbatim,5,0.16666666666666666
0,Nate,verbatim,6,0.25
0,Nate,verbatim,7,0.0
0,Nate,verbatim,8,0.25
0,Nate,verbatim,9,0.0
0,Nate,verbatim,10,0.0
0,Nate,verbatim,11,0.0
0,Nate,verbatim,12,0.05555555555555555
0,Nate,verbatim,13,0.2
0,Nate,verbatim,14,0.0
0,Nate,verbatim,15,1.0
0,Nate,verbatim,16,0.0
0,Nate,verbatim,17,0.0
0,Nate,verbatim,18,0.5
0,Nate,verbatim,19,0.0
0,Riley,bleurt,0,1.0
0,Riley,bleurt,1,0.5
0,Riley,bleurt,2,0.0
0,Riley,bleurt,3,1.0
0,Riley,bleurt,4,1.0
