sample_id,text,winner_annotation
0, I have made sure my mother is comfortable with my boyfriend travelling on a trip and now my mother is mad because I booked it....,"[{""winner_text"": "" I have made sure my mother is comfortable with my boyfriend travelling on a trip and now my mother is mad because I booked it."", ""loser_text"": "" Mum is mad at me for not flying on my own trip to meet my boyfriend."", ""preference"": ""winner""}]"
1, mum isn't speaking to me because I booked a flight and she doesn't want me flying on my own....,"[{""winner_text"": "" mum isn't speaking to me because I booked a flight and she doesn't want me flying on my own."", ""loser_text"": "" I have made sure my mother is comfortable with my boyfriend travelling on a trip and now my mother is mad because I booked it."", ""preference"": ""winner""}]"
2, mum isn't speaking to me because I booked a flight and she doesn't want me flying on my own....,"[{""winner_text"": "" mum isn't speaking to me because I booked a flight and she doesn't want me flying on my own."", ""loser_text"": "" Mum thought I was going to road trip with my boyfriend. I cancelled the flight. Mum is annoyed because she thought she would be traveling with me. I am fine with that."", ""preference"": ""winner""}]"
3, Mum thought I was going to road trip with my boyfriend. I cancelled the flight. Mum is annoyed because she thought she would be traveling with me. I am fine with that....,"[{""winner_text"": "" Mum thought I was going to road trip with my boyfriend. I cancelled the flight. Mum is annoyed because she thought she would be traveling with me. I am fine with that."", ""loser_text"": "" Mum is mad at me for not flying on my own trip to meet my boyfriend."", ""preference"": ""winner""}]"
4," landlord pretended to be another tenant and wrote defamatory things on our wall, property management company refuses to look at the video tapes. Want to pursue this further...","[{""winner_text"": "" landlord pretended to be another tenant and wrote defamatory things on our wall, property management company refuses to look at the video tapes. Want to pursue this further"", ""loser_text"": "" My landlord is harassing me and my neighbours with the same falsified leaflets that she has done in the past. We are seeking to have the evidence examined by the Human Rights Board of Canada."", ""preference"": ""winner""}]"
5," Snooped, found something, should I admit what I found so we can have a more honest conversation about it with less denial on her part?...","[{""winner_text"": "" Snooped, found something, should I admit what I found so we can have a more honest conversation about it with less denial on her part?"", ""loser_text"": "" I snooped, we talked about it, she wants to work it out, I'm not sure.  Is the snooping worth it?"", ""preference"": ""winner""}]"
6," I snooped, gf has new male friend, I'm not sure whether to confess snooping to try and get us back on track....","[{""winner_text"": "" I snooped, gf has new male friend, I'm not sure whether to confess snooping to try and get us back on track."", ""loser_text"": "" I snooped, we talked about it, she wants to work it out, I'm not sure.  Is the snooping worth it?"", ""preference"": ""winner""}]"
7," Snooped, found something, should I admit what I found so we can have a more honest conversation about it with less denial on her part?...","[{""winner_text"": "" Snooped, found something, should I admit what I found so we can have a more honest conversation about it with less denial on her part?"", ""loser_text"": "" Opened up snooping and found a google search for a guy's name and views of his facebook profile.  Girlfriend denies any feelings for him and insists that she only loves me and I mean the world to her, I'm not sure if I should admit to snooping and get to the bottom of this?"", ""preference"": ""winner""}]"
8," I snooped, gf has new male friend, I'm not sure whether to confess snooping to try and get us back on track....","[{""winner_text"": "" I snooped, gf has new male friend, I'm not sure whether to confess snooping to try and get us back on track."", ""loser_text"": "" Opened up snooping and found a google search for a guy's name and views of his facebook profile.  Girlfriend denies any feelings for him and insists that she only loves me and I mean the world to her, I'm not sure if I should admit to snooping and get to the bottom of this?"", ""preference"": ""winner""}]"
9, Good girlfriend I'm just not happy don't know how to break up with her...,"[{""winner_text"": "" Good girlfriend I'm just not happy don't know how to break up with her"", ""loser_text"": "" I want to break up with my girlfriend because I'm not happy but she thinks it's her fault. Should I do it anyway?"", ""preference"": ""winner""}]"
10, Being a feminist means you want equality and that both women and men should be treated equally. Being a *real* feminist means you do not want to see men treated as the inferior sex or any other half ...,"[{""winner_text"": "" Being a feminist means you want equality and that both women and men should be treated equally. Being a *real* feminist means you do not want to see men treated as the inferior sex or any other half of humanity. The fact that people are now of the idea that being a feminist must mean these negative and false things is worrying. It feels as though this once very respected and well thought of movement and all it's accomplishments are being flushed away due to the extremists."", ""loser_text"": "" I suppose I'm just worried, I'm worried that these minor few  are setting back an important and vital message by reducing the movement itself to a laughable thing."", ""preference"": ""winner""}]"
11," A movement that is supposed to be about equality has extremists who have made it a laughing stock, and it's a sign that this movement has been so strongly dismissed that it has lost all it's accompli...","[{""winner_text"": "" A movement that is supposed to be about equality has extremists who have made it a laughing stock, and it's a sign that this movement has been so strongly dismissed that it has lost all it's accomplishments."", ""loser_text"": "" I suppose I'm just worried, I'm worried that these minor few  are setting back an important and vital message by reducing the movement itself to a laughable thing."", ""preference"": ""winner""}]"
12, Being a feminist means you want equality and that both women and men should be treated equally. Being a *real* feminist means you do not want to see men treated as the inferior sex or any other half ...,"[{""winner_text"": "" Being a feminist means you want equality and that both women and men should be treated equally. Being a *real* feminist means you do not want to see men treated as the inferior sex or any other half of humanity. The fact that people are now of the idea that being a feminist must mean these negative and false things is worrying. It feels as though this once very respected and well thought of movement and all it's accomplishments are being flushed away due to the extremists."", ""loser_text"": "" If you want equality then you must hate men. If you want equality then you must hate women. If you want equality then you must hate men and women. If you want equality then you must hate men and women. *If* you do, then you're not a real feminist."", ""preference"": ""winner""}]"
13," A movement that is supposed to be about equality has extremists who have made it a laughing stock, and it's a sign that this movement has been so strongly dismissed that it has lost all it's accompli...","[{""winner_text"": "" A movement that is supposed to be about equality has extremists who have made it a laughing stock, and it's a sign that this movement has been so strongly dismissed that it has lost all it's accomplishments."", ""loser_text"": "" If you want equality then you must hate men. If you want equality then you must hate women. If you want equality then you must hate men and women. If you want equality then you must hate men and women. *If* you do, then you're not a real feminist."", ""preference"": ""winner""}]"
14, I need to ship my dog into the US but they say the health certificate is not needed and they don't provide the form. What do I do?...,"[{""winner_text"": "" I need to ship my dog into the US but they say the health certificate is not needed and they don't provide the form. What do I do?"", ""loser_text"": "" \u2013 I'm going to Canada with my dog in the next week and I need advice on what's required to get the dog into the US."", ""preference"": ""winner""}]"
15," Friend slept with me despite liking, and pursuing a relationship with another mutual friend. Do I have a right to be upset?...","[{""winner_text"": "" Friend slept with me despite liking, and pursuing a relationship with another mutual friend. Do I have a right to be upset?"", ""loser_text"": "" friend slept with a girl, asked her on a date, but he never told her that. She's very close to him, and he's everything to her. I feel used and hurt by this, and don't know how to feel."", ""preference"": ""winner""}]"
16," Friend slept with me despite liking, and pursuing a relationship with another mutual friend. Do I have a right to be upset?...","[{""winner_text"": "" Friend slept with me despite liking, and pursuing a relationship with another mutual friend. Do I have a right to be upset?"", ""loser_text"": "" I have a friend who has a new found attraction to me, and is pursuing to date the girl who was with him for 6 months. I feel like he's used me, and now doesn't know what to do with his new found looks and self confidence."", ""preference"": ""winner""}]"
17," Friend slept with me despite liking, and pursuing a relationship with another mutual friend. Do I have a right to be upset?...","[{""winner_text"": "" Friend slept with me despite liking, and pursuing a relationship with another mutual friend. Do I have a right to be upset?"", ""loser_text"": "" been sleeping with a friend, who has a close mutual friend, a week after he asked her on a date. He says he doesn't remember, and without even asking her out on a date, he wanted her to know he liked her. I feel hurt and bummed out."", ""preference"": ""winner""}]"
18," SO doesn't respect my car and is underage, should I be concerned?...","[{""winner_text"": "" SO doesn't respect my car and is underage, should I be concerned?"", ""loser_text"": "" SO doesn't respect my car- but he does respect my car."", ""preference"": ""winner""}]"
19, boyfriend drives my car after having a few beers even after I've repeatedly asked him not to. I feel he doesn't respect my car or my wishes...,"[{""winner_text"": "" boyfriend drives my car after having a few beers even after I've repeatedly asked him not to. I feel he doesn't respect my car or my wishes"", ""loser_text"": "" SO is underage and uses my car when driving, I want him to stop."", ""preference"": ""winner""}]"
20, I am panicking about a Christmas present for my boyfriend and I need help....,"[{""winner_text"": "" I am panicking about a Christmas present for my boyfriend and I need help."", ""loser_text"": "" I have no idea what a Christmas gift for my boyfriend is. What do I get?"", ""preference"": ""winner""}]"
21, I can't think of a gift for my boyfriend. He's a level-headed Atheist and gamer and I have no idea how to get him something he will enjoy....,"[{""winner_text"": "" I can't think of a gift for my boyfriend. He's a level-headed Atheist and gamer and I have no idea how to get him something he will enjoy."", ""loser_text"": "" I am panicking about a Christmas present for my boyfriend and I need help."", ""preference"": ""winner""}]"
22, I can't think of a gift for my boyfriend. He's a level-headed Atheist and gamer and I have no idea how to get him something he will enjoy....,"[{""winner_text"": "" I can't think of a gift for my boyfriend. He's a level-headed Atheist and gamer and I have no idea how to get him something he will enjoy."", ""loser_text"": "" I want to get my boyfriend something that he will actually like for Christmas but am at a loss... Don't want to be just a present. Need ideas."", ""preference"": ""winner""}]"
23, I want to get my boyfriend something that he will actually like for Christmas but am at a loss... Don't want to be just a present. Need ideas....,"[{""winner_text"": "" I want to get my boyfriend something that he will actually like for Christmas but am at a loss... Don't want to be just a present. Need ideas."", ""loser_text"": "" I have no idea what a Christmas gift for my boyfriend is. What do I get?"", ""preference"": ""winner""}]"
24, I want to get my boyfriend something that he will actually like for Christmas but am at a loss... Don't want to be just a present. Need ideas....,"[{""winner_text"": "" I want to get my boyfriend something that he will actually like for Christmas but am at a loss... Don't want to be just a present. Need ideas."", ""loser_text"": "" I am panicking about a Christmas present for my boyfriend and I need help."", ""preference"": ""winner""}]"
25," I want to leave my toxic ""family"" as soon as I turn 18, how would I go about this and how would I obtain the means to do this?...","[{""winner_text"": "" I want to leave my toxic \""family\"" as soon as I turn 18, how would I go about this and how would I obtain the means to do this?"", ""loser_text"": "" 16 year old wants to cut ties with family as soon as she turns 18. Not sure how to do it. Has anyone done it before, please share your story."", ""preference"": ""winner""}]"
26," I want to leave my toxic ""family"" as soon as I turn 18, how would I go about this and how would I obtain the means to do this?...","[{""winner_text"": "" I want to leave my toxic \""family\"" as soon as I turn 18, how would I go about this and how would I obtain the means to do this?"", ""loser_text"": "" I want to move out and cut contact with my \""family\"" when I turn 18. How do I go about doing this?"", ""preference"": ""winner""}]"
27, I'm a kid who has been emotionally and physically harmed by my family and want to be able to leave them as soon as I turn 18. How do I do this?...,"[{""winner_text"": "" I'm a kid who has been emotionally and physically harmed by my family and want to be able to leave them as soon as I turn 18. How do I do this?"", ""loser_text"": "" 16 year old wants to cut ties with family as soon as she turns 18. Not sure how to do it. Has anyone done it before, please share your story."", ""preference"": ""winner""}]"
28, I'm a kid who has been emotionally and physically harmed by my family and want to be able to leave them as soon as I turn 18. How do I do this?...,"[{""winner_text"": "" I'm a kid who has been emotionally and physically harmed by my family and want to be able to leave them as soon as I turn 18. How do I do this?"", ""loser_text"": "" I want to move out and cut contact with my \""family\"" when I turn 18. How do I go about doing this?"", ""preference"": ""winner""}]"
29," 16 year old wants to cut ties with family as soon as she turns 18. Not sure how to do it. Has anyone done it before, please share your story....","[{""winner_text"": "" 16 year old wants to cut ties with family as soon as she turns 18. Not sure how to do it. Has anyone done it before, please share your story."", ""loser_text"": "" I want to move out and cut contact with my \""family\"" when I turn 18. How do I go about doing this?"", ""preference"": ""winner""}]"
30," we suspect other party involved of speeding when he hit me but I can't prove it without an investigation into the damage, how can i get such an investigation ? if at all possible....","[{""winner_text"": "" we suspect other party involved of speeding when he hit me but I can't prove it without an investigation into the damage, how can i get such an investigation ? if at all possible."", ""loser_text"": "" car accident caused me 2-3m damage to my car both doors totally jammed and driving way faster than usual. need info on what to do with this.. thanks :)"", ""preference"": ""winner""}]"
31, had car accident on friday. other party involved was speeding and hit me. but because he denies responsibility he seems to be to blame. can i get some kind of investigation into it?...,"[{""winner_text"": "" had car accident on friday. other party involved was speeding and hit me. but because he denies responsibility he seems to be to blame. can i get some kind of investigation into it?"", ""loser_text"": "" car accident caused me 2-3m damage to my car both doors totally jammed and driving way faster than usual. need info on what to do with this.. thanks :)"", ""preference"": ""winner""}]"
32, had car accident on friday. other party involved was speeding and hit me. but because he denies responsibility he seems to be to blame. can i get some kind of investigation into it?...,"[{""winner_text"": "" had car accident on friday. other party involved was speeding and hit me. but because he denies responsibility he seems to be to blame. can i get some kind of investigation into it?"", ""loser_text"": "" we suspect other party involved of speeding when he hit me but I can't prove it without an investigation into the damage, how can i get such an investigation ? if at all possible."", ""preference"": ""winner""}]"
33," I got a car crash involving another car, can i somehow get an investigation going about the speed involved in the collision?...","[{""winner_text"": "" I got a car crash involving another car, can i somehow get an investigation going about the speed involved in the collision?"", ""loser_text"": "" car accident caused me 2-3m damage to my car both doors totally jammed and driving way faster than usual. need info on what to do with this.. thanks :)"", ""preference"": ""winner""}]"
34," I got a car crash involving another car, can i somehow get an investigation going about the speed involved in the collision?...","[{""winner_text"": "" I got a car crash involving another car, can i somehow get an investigation going about the speed involved in the collision?"", ""loser_text"": "" we suspect other party involved of speeding when he hit me but I can't prove it without an investigation into the damage, how can i get such an investigation ? if at all possible."", ""preference"": ""winner""}]"
35," I never dated/flirted as an adult, now I'm not sure how to date. Scared will grow old with many cats. Any advice?...","[{""winner_text"": "" I never dated/flirted as an adult, now I'm not sure how to date. Scared will grow old with many cats. Any advice?"", ""loser_text"": "" Just came out of 8 year relationship, don't know how to please myself or how to flirt/date. How do I do this?"", ""preference"": ""winner""}]"
36," Just came out of 8 year relationship, don't know how to please myself or how to flirt/date. How do I do this?...","[{""winner_text"": "" Just came out of 8 year relationship, don't know how to please myself or how to flirt/date. How do I do this?"", ""loser_text"": "" Don't know how to date/flirt/flirt with someone who has never been single. Scared and confused because I have never been single before. Any advice?"", ""preference"": ""winner""}]"
37," I never dated/flirted as an adult, now I'm not sure how to date. Scared will grow old with many cats. Any advice?...","[{""winner_text"": "" I never dated/flirted as an adult, now I'm not sure how to date. Scared will grow old with many cats. Any advice?"", ""loser_text"": "" Don't know how to date/flirt/flirt with someone who has never been single. Scared and confused because I have never been single before. Any advice?"", ""preference"": ""winner""}]"
38," Just came out of 8 year relationship, don't know how to please myself or how to flirt/date. How do I do this?...","[{""winner_text"": "" Just came out of 8 year relationship, don't know how to please myself or how to flirt/date. How do I do this?"", ""loser_text"": "" Started a long-term relationship as a teenager, ended as an adult. Now feel like I don't know how to date."", ""preference"": ""winner""}]"
39," Started a long-term relationship as a teenager, ended as an adult. Now feel like I don't know how to date....","[{""winner_text"": "" Started a long-term relationship as a teenager, ended as an adult. Now feel like I don't know how to date."", ""loser_text"": "" Don't know how to date/flirt/flirt with someone who has never been single. Scared and confused because I have never been single before. Any advice?"", ""preference"": ""winner""}]"
